Season 1,,SPH SPORTS 2026-27 MASTER SCHEDULE,,,,,,,,,,,,,,,,,,
,,Color Code:,PRACTICE,,HOME GAMES,AWAY GAMES,,TOURNAMENTS,HOLIDAYS,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
,,Varsity Boys Soccer,Varsity Girls Soccer,,Varsity Boys Volleyball,Varsity Girls Volleyball,,SMP Boys Basketball,SMP Girls Basketball,,Varsity Swim,,Cross Country,,JS 5-6 Boys Basketball,JS 5-6 Girls Basketball,JS 3-4 Mixed Basketball,,,
WEEK #1,,,,,,,,,,,,,,,,,,,,
Wed,29-Jul,,,,,,,,,,,,,,,,,,,
Thur,30-Jul,,,,,,,,,,,,,,,,,,,
Fri,31-Jul,Tryouts Main Field,Tryouts Side Field,,Tryouts Gym 2,Tryouts Gym 2,,,,,,,,,,,,,,
Sat,1-Aug,,,,,,,,,,,,,,,,,,,
WEEK #2,,,,,,,,,,,,,,,,,,,,
Mon,3-Aug,Tryouts Main Field,Tryouts Side Field,,,,,Practice Gym 2,Practice Gym 2,,Tryouts,,,,,,,,,
Tues,4-Aug,Tryouts Main Field,Tryouts Side Field,,Tryouts Gym 2,Tryouts Gym 2,,Practice Covered,Practice Gym 1,,,,,,,,,,,
Wed,5-Aug,,,,,,,,,,Tryouts  AM,,,,,,,,,
Thur,6-Aug,,,,Tryouts Gym 2,Tryouts Gym 2,,,,,,,,,,,,,,
Fri,7-Aug,Tryouts Main Field,Tryouts Side Field,,Tryouts Gym 2,Tryouts Gym 2,,Practice Gym 1,Practice Covered,,Tryouts,,First Practice,,,,,,,
Sat,8-Aug,,,,,,,,,,,,,,,,,,,
WEEK #3,,,,,,,,,,,,,,,,,,,,
Mon,10-Aug,Practice Main Field,Practice Side Field,,,,,Practice Gym 2,Practice Gym 2,,Tryouts,,Practice,,,,,,,
Tues,11-Aug,Practice Main Field,Practice Side Field,,Practice Gym 2,Practice Gym 2,,Practice Covered,Practice Gym 1,,,,,,,,,,,
Wed,12-Aug,,,,,,,,,,Tryouts  AM,,,,,,,,,
Thur,13-Aug,,,,PGRI 83 @LV 15:30,PGRI 83 @LV 15:30,,,,,,,Practice,,,,,,,
Fri,14-Aug,Practice Main Field,Practice Side Field,,Practice Gym 2 AM,Practice Gym 2 AM,,Practice Gym 1,Practice Covered,,Tryouts,,,,,,,,,
Sat,15-Aug,SMK 31 @LV 08:00,SMK 31 @LV 08:00,,LV @ KV  09:00,LV @ KV  08:00,,,,,,,,,,,,,,
WEEK #4,,,,,,,,,,,,,,,,,,,,
Mon,17-Aug,Independence Day,,,,,,,,,,,,,,,,,,
Tues,18-Aug,Practice Main Field,Practice Side Field,,Practice Gym 2,Practice Gym 2,,SMP 6 @LV 16:00 Gym 1,Practice Covered & Outdoor,,Practice,,,,,,,,,
Wed,19-Aug,,,,,,,,,,,,,,,,,,,
Thur,20-Aug,,,,SPH Staff @LV  16:00,1 Parung Panjang @LV 15:30,,,,,Practice AM,,Practice,,Practice Gym 1,Practice Covered Tennis Courts,Practice Covered Tennis Courts,,,
Fri,21-Aug,Practice Main Field,Practice Side Field,,Practice Gym 2,Practice Gym 2,,Practice Gym 1,Practice Covered,,,,,,,,,,,
Sat,22-Aug,SMA 17 @LV 08:00,SMA 17 @LV 08:00,,,,,ACS-A @LV-A   08:00      ACS-B @LV-B   09:15,ACS @LV 08:00,,Practice,,,,,,,,,
WEEK #5,,   ,,,,,,,,,,,,,,,,,,
Mon,24-Aug,Academic Holiday,,,,,,,,,,,,,,,,,,
Tues,25-Aug,Maulib Nabi,,,,,,,,,,,,,,,,,,
Wed,26-Aug,,,,,,,,,,,,,,,,,,,
Thur,27-Aug,,,,SMA 15 @LV  15:30,SMA 15 @LV  15:30,,,,,Practice AM,,Practice,,Practice Covered Tennis Courts,Practice Covered Tennis Courts,Practice Gym 1,,,
Fri,28-Aug,Practice Main Field,Practice Side Field,,Practice Gym 2,Practice Gym 2,,Practice Gym 1,Practice Covered,,,,,,,,,,,
Sat,29-Aug,ACS @ LV 08:00,ACS @ LV 08:00,,LV v STL 08:00                    JIS v STL 09:00                    LV v JIS 10:00,LV v STL 08:00                    JIS v STL 09:00                    LV v JIS 10:00,,LV @ KV,LV @ KV,,Practice,,LV @JIS 07:30,,,,,,,
WEEK #6,, ,,,,,,,,,,,,,,,,,,
Mon,31-Aug,Practice Main Field,Practice Side Field,,,,,Practice Gym 2,Practice Gym 2,,Practice,,Practice,,Practice Gym 1,Practice Covered Tennis Courts,Practice Covered Tennis Courts,,,
Tues,1-Sep,Practice Main Field,Practice Side Field,,Practice Gym 2,Practice Gym 2,,Practice Covered,Practice Gym 1,,,,,,,,,,,
Wed,2-Sep,,,,,,,,,,Practice AM,,,,,,,,,
Thur,3-Sep,,,,Practice Gym 2,Practice Gym 2,,,,,,,Practice,,Practice Covered Tennis Courts,Practice Gym 1,Practice Covered Tennis Courts,,,
Fri,4-Sep,Practice Main Field,Practice Side Field,,Practice Gym 2,Practice Gym 2,,Practice Gym 1,Practice Covered,,Practice,,,,,,,,,
Sat,5-Sep,LV/KV @ GJS,LV/KV @ GJS,,LV v ACS 08:00                    ACS v GJS 09:00                    LV v GJS 10:00,LV v ACS 08:00                    ACS v GJS 09:00                    LV v GJS 10:00,,GJS @LV 11:15,GJS @LV 11:15,,,,,,,,,,,
WEEK #7,,,,,,,,,,,,,,,,,,,,
Mon,7-Sep,STL @ LV,Practice Side Field,,,,,Practice Gym 2,Practice Gym 2,,Practice,,Practice,,Practice Covered Tennis Courts,Practice Covered Tennis Courts,Practice Gym 1,,,
Tues,8-Sep,Practice Main Field,LV @ STL,,Practice Gym 2,Practice Gym 2,,Practice Covered,Practice Gym 1,,,,,,,,,,,
Wed,9-Sep,Spiritual Retreats,,,,,,,,,,,,,,,,,,
Thur,10-Sep,,,,,,,,,,,,,,Practice Gym 2,Practice Gym 2,Practice Gym 1,,,
Fri,11-Sep,,,,,,,,,,,,,,,,,,,
Sat,12-Sep,,,,,,,,,,,,,,,,,,,
WEEK #8,,,,,,,,,,,,,,,,,,,,
